user_id,3,4,5,7,8,13,14,16,20,23
1,0.0,5.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
10,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
10000,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
10008,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
10011,0.0,2.0,4.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0
10012,5.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,4.0,0.0
10013,0.0,0.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0
10016,0.0,5.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0
10017,2.0,4.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,4.0
10018,5.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,4.0,5.0
1002,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,5.0,4.0
10023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10025,0.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
10026,4.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0
10027,5.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,5.0
10028,0.0,5.0,0.0,5.0,0.0,0.0,4.0,4.0,0.0,5.0
10029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10030,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
10043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
10047,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0
10048,0.0,5.0,4.0,3.0,3.0,0.0,3.0,4.0,0.0,3.0
1005,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
10050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
10056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
10057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
